filename,mean_best_ts,mean_best_ini,mean_ts,low_best_ts,low_best_ini,opt_val,std_best_ts,std_best_ini,std_time_ts,mean_err_best_ts,mean_err_best_ini,low_err_best_ts,low_err_best_ini
fri26_50_8,1543.15,1779.0,0.02953,1464.0,1779.0,1441.0,47.91959,0.0,0.01167,7.08883,23.45593,1.59611,23.45593
fri26_50_9,1312.04,1449.0,0.03703,1282.0,1449.0,1267.0,15.62045,0.0,0.01525,3.55485,14.36464,1.1839,14.36464
gr17_10_1,2195.04,2873.0,0.02203,2153.0,2873.0,2153.0,54.06735,0.0,0.01107,1.95262,33.44171,0.0,33.44171
gr17_10_10,2085.0,2187.0,0.01469,2085.0,2187.0,2085.0,0.0,0.0,0.00821,0.0,4.89209,0.0,4.89209
gr17_10_2,2183.49,2390.0,0.02281,2165.0,2390.0,2165.0,14.62156,0.0,0.01178,0.85404,10.39261,0.0,10.39261
gr17_10_3,2085.0,2187.0,0.01609,2085.0,2187.0,2085.0,0.0,0.0,0.00748,0.0,4.89209,0.0,4.89209
gr17_10_4,2621.38,2873.0,0.02578,2590.0,2873.0,2590.0,48.53077,0.0,0.01257,1.21158,10.92664,0.0,10.92664
gr17_10_5,2085.0,2187.0,0.01578,2085.0,2187.0,2085.0,0.0,0.0,0.00749,0.0,4.89209,0.0,4.89209
gr17_10_6,2085.0,2187.0,0.01672,2085.0,2187.0,2085.0,0.0,0.0,0.00804,0.0,4.89209,0.0,4.89209
gr17_10_7,2147.58,2512.0,0.02656,2090.0,2512.0,2085.0,54.71164,0.0,0.01,3.00144,20.47962,0.23981,20.47962
gr17_10_8,2110.63,2212.0,0.01594,2088.0,2212.0,2085.0,13.76274,0.0,0.00855,1.22926,6.09113,0.14388,6.09113
gr17_10_9,2085.0,2187.0,0.01328,2085.0,2187.0,2085.0,0.0,0.0,0.00866,0.0,4.89209,0.0,4.89209
gr17_25_1,2265.0,2358.0,0.01531,2265.0,2358.0,2265.0,0.0,0.0,0.00732,0.0,4.10596,0.0,4.10596
gr17_25_10,2715.46,2938.0,0.01875,2675.0,2938.0,2675.0,49.63596,0.0,0.01169,1.51252,9.83178,0.0,9.83178
gr17_25_2,2531.81,3212.0,0.02125,2505.0,3212.0,2505.0,16.63532,0.0,0.01072,1.07026,28.22355,0.0,28.22355
gr17_25_3,2323.28,2934.0,0.02094,2270.0,2934.0,2270.0,39.04692,0.0,0.01131,2.34714,29.2511,0.0,29.2511
gr17_25_4,2152.12,3032.0,0.01719,2103.0,3032.0,2103.0,30.33061,0.0,0.01025,2.33571,44.17499,0.0,44.17499
gr17_25_5,2123.71,3034.0,0.02078,2088.0,3034.0,2088.0,30.54351,0.0,0.01191,1.71025,45.30651,0.0,45.30651
gr17_25_6,2173.57,2581.0,0.01688,2160.0,2581.0,2160.0,24.82912,0.0,0.0098,0.62824,19.49074,0.0,19.49074
gr17_25_7,2109.02,2386.0,0.01312,2088.0,2386.0,2085.0,13.91185,0.0,0.0093,1.15204,14.43645,0.14388,14.43645
gr17_25_8,2119.0,2212.0,0.01094,2119.0,2212.0,2085.0,0.0,0.0,0.00841,1.6307,6.09113,1.6307,6.09113
gr17_25_9,2166.8,2443.0,0.01656,2138.0,2443.0,2138.0,36.70559,0.0,0.00984,1.34705,14.26567,0.0,14.26567
gr17_50_1,2838.64,3196.0,0.01516,2743.0,3196.0,2743.0,60.89031,0.0,0.0107,3.48669,16.51476,0.0,16.51476
gr17_50_10,2134.0,2307.0,0.01062,2134.0,2307.0,2134.0,0.0,0.0,0.00793,0.0,8.10684,0.0,8.10684
gr17_50_2,2268.0,2365.0,0.01094,2268.0,2365.0,2216.0,0.0,0.0,0.00812,2.34657,6.72383,2.34657,6.72383
gr17_50_3,3003.9,3207.0,0.0125,3000.0,3207.0,3000.0,5.95735,0.0,0.00856,0.13,6.9,0.0,6.9
gr17_50_4,2949.5,3723.0,0.01562,2946.0,3723.0,2946.0,4.7697,0.0,0.00988,0.11881,26.37475,0.0,26.37475
gr17_50_5,2218.32,2823.0,0.02281,2205.0,2823.0,2205.0,36.62783,0.0,0.01456,0.60408,28.02721,0.0,28.02721
gr17_50_6,2579.0,3587.0,0.01391,2579.0,3587.0,2579.0,0.0,0.0,0.0101,0.0,39.08492,0.0,39.08492
gr17_50_7,2817.46,3495.0,0.01281,2812.0,3495.0,2812.0,13.53249,0.0,0.00973,0.19417,24.28876,0.0,24.28876
gr17_50_8,3014.0,3254.0,0.01141,3014.0,3254.0,3014.0,0.0,0.0,0.00852,0.0,7.96284,0.0,7.96284
gr17_50_9,3454.0,3811.0,0.01625,3454.0,3811.0,3454.0,0.0,0.0,0.01058,0.0,10.33584,0.0,10.33584
gr21_10_1,2969.99,3369.0,0.02656,2784.0,3369.0,2707.0,145.01934,0.0,0.012,9.71518,24.45512,2.84448,24.45512
gr21_10_10,3008.97,3333.0,0.03016,2870.0,3333.0,2707.0,117.38224,0.0,0.01657,11.15515,23.12523,6.02143,23.12523
gr21_10_2,3137.94,3877.0,0.02875,3002.0,3877.0,3002.0,95.32007,0.0,0.01184,4.52831,29.14724,0.0,29.14724
gr21_10_3,3066.02,3408.0,0.02453,2863.0,3408.0,2851.0,177.29676,0.0,0.01215,7.54192,19.537,0.4209,19.537
gr21_10_4,3171.99,3714.0,0.02297,3029.0,3714.0,2760.0,115.412,0.0,0.00999,14.92717,34.56522,9.74638,34.56522
gr21_10_5,2941.83,3333.0,0.02016,2760.0,3333.0,2707.0,207.37657,0.0,0.01089,8.67492,23.12523,1.95789,23.12523
gr21_10_6,2967.14,3465.0,0.02234,2871.0,3465.0,2760.0,41.21699,0.0,0.00944,7.50507,25.54348,4.02174,25.54348
gr21_10_7,3366.31,3526.0,0.01844,3301.0,3526.0,3093.0,34.68737,0.0,0.01022,8.8364,13.99935,6.72486,13.99935
gr21_10_8,3139.79,3732.0,0.02469,3075.0,3732.0,2962.0,58.35586,0.0,0.00942,6.00236,25.99595,3.81499,25.99595
gr21_10_9,3010.61,3399.0,0.02266,2965.0,3399.0,2787.0,74.34378,0.0,0.01156,8.02332,21.9591,6.3868,21.9591
gr21_25_1,2864.22,4502.0,0.02438,2788.0,4502.0,2788.0,99.34833,0.0,0.01368,2.73386,61.47776,0.0,61.47776
gr21_25_10,3082.7,3404.0,0.02281,2707.0,3404.0,2707.0,219.1141,0.0,0.01199,13.87883,25.74806,0.0,25.74806
gr21_25_2,3207.95,3681.0,0.02469,3069.0,3681.0,2946.0,77.51314,0.0,0.01311,8.89172,24.94908,4.17515,24.94908
gr21_25_3,3336.31,3417.0,0.02031,3238.0,3417.0,3109.0,82.85888,0.0,0.0095,7.31135,9.90672,4.14924,9.90672
gr21_25_4,2908.29,4202.0,0.02484,2707.0,4202.0,2707.0,171.95519,0.0,0.01271,7.43591,55.22719,0.0,55.22719
gr21_25_5,3393.21,3431.0,0.01625,3242.0,3431.0,3159.0,74.40179,0.0,0.01103,7.41406,8.61032,2.62741,8.61032
gr21_25_6,3223.01,4023.0,0.02469,3159.0,4023.0,3159.0,81.17296,0.0,0.00942,2.02627,27.35043,0.0,27.35043
gr21_25_7,3050.6,3717.0,0.02359,2921.0,3717.0,2921.0,105.49597,0.0,0.01024,4.43684,27.25094,0.0,27.25094
gr21_25_8,3655.3,4202.0,0.02469,3425.0,4202.0,3421.0,71.51818,0.0,0.01435,6.84887,22.82958,0.11692,22.82958
gr21_25_9,2886.07,4162.0,0.02938,2784.0,4162.0,2709.0,119.29638,0.0,0.01255,6.53636,53.63603,2.76855,53.63603
gr21_50_1,3244.92,3438.0,0.02297,3115.0,3438.0,3115.0,101.20333,0.0,0.01047,4.17079,10.36918,0.0,10.36918
gr21_50_10,3714.68,4676.0,0.02594,3658.0,4676.0,3483.0,43.50285,0.0,0.01174,6.65174,34.25208,5.0244,34.25208
gr21_50_2,4227.76,4648.0,0.02078,4144.0,4648.0,4041.0,75.64762,0.0,0.01061,4.62163,15.02103,2.54887,15.02103
gr21_50_3,4066.81,4755.0,0.02344,3970.0,4755.0,3892.0,57.70003,0.0,0.00976,4.49152,22.17369,2.00411,22.17369
gr21_50_4,3655.21,4571.0,0.01922,3570.0,4571.0,3570.0,115.10502,0.0,0.01166,2.38683,28.03922,0.0,28.03922
gr21_50_5,4368.19,4512.0,0.02062,4219.0,4512.0,4132.0,101.13503,0.0,0.01167,5.71612,9.19652,2.10552,9.19652
gr21_50_6,3661.38,4134.0,0.02344,3553.0,4134.0,3417.0,65.17373,0.0,0.01317,7.15189,20.98332,3.9801,20.98332
gr21_50_7,4255.0,4680.0,0.02234,4249.0,4680.0,4249.0,3.4641,0.0,0.01066,0.14121,10.14356,0.0,10.14356
gr21_50_8,3465.2,4509.0,0.02109,3296.0,4509.0,3296.0,136.52787,0.0,0.01045,5.1335,36.80218,0.0,36.80218
gr21_50_9,4226.92,4676.0,0.02156,4186.0,4676.0,4186.0,53.55589,0.0,0.01031,0.97754,11.70569,0.0,11.70569
gr48_10_1,5800.0,5889.0,0.13125,5800.0,5889.0,5046.0,0.0,0.0,0.0248,14.94253,16.7063,14.94253,16.7063
gr48_10_10,6082.0,6204.0,0.14125,6082.0,6204.0,5055.0,0.0,0.0,0.02733,20.31652,22.72997,20.31652,22.72997
gr48_10_2,7027.0,7518.0,0.12484,7027.0,7518.0,5542.0,0.0,0.0,0.01761,26.79538,35.655,26.79538,35.655
gr48_10_3,6531.0,6928.0,0.12594,6531.0,6928.0,5300.0,0.0,0.0,0.01463,23.22642,30.71698,23.22642,30.71698
gr48_10_4,6130.0,6236.0,0.13062,6130.0,6236.0,5293.0,0.0,0.0,0.01829,15.81334,17.81598,15.81334,17.81598
gr48_10_5,7031.47,7109.0,0.12328,7030.0,7109.0,5679.0,5.35809,0.0,0.02153,23.81528,25.18049,23.7894,25.18049
gr48_10_6,7372.0,7503.0,0.12406,7372.0,7503.0,5610.0,0.0,0.0,0.02378,31.4082,33.74332,31.4082,33.74332
gr48_10_7,6070.0,6201.0,0.13109,6070.0,6201.0,5063.0,0.0,0.0,0.01481,19.88939,22.47679,19.88939,22.47679
gr48_10_8,7183.0,7508.0,0.13125,7183.0,7508.0,5103.0,0.0,0.0,0.0174,40.76034,47.12914,40.76034,47.12914
gr48_10_9,6268.0,6373.0,0.12766,6268.0,6373.0,5153.0,0.0,0.0,0.02002,21.63788,23.67553,21.63788,23.67553
gr48_25_1,6318.0,6422.0,0.15781,6318.0,6422.0,5524.0,0.0,0.0,0.01474,14.37364,16.25634,14.37364,16.25634
gr48_25_10,7024.0,7253.0,0.11219,7024.0,7253.0,6014.0,0.0,0.0,0.01674,16.79415,20.60193,16.79415,20.60193
gr48_25_2,6961.0,7261.0,0.16234,6961.0,7261.0,5895.0,0.0,0.0,0.01874,18.08312,23.17218,18.08312,23.17218
gr48_25_3,7164.0,7344.0,0.16062,7164.0,7344.0,5754.0,0.0,0.0,0.02038,24.50469,27.63295,24.50469,27.63295
gr48_25_4,6425.0,6652.0,0.15578,6425.0,6652.0,5588.0,0.0,0.0,0.02692,14.97853,19.0408,14.97853,19.0408
gr48_25_5,6869.0,7226.0,0.11516,6869.0,7226.0,6159.0,0.0,0.0,0.01818,11.52785,17.32424,11.52785,17.32424
gr48_25_6,6415.0,6613.0,0.12422,6415.0,6613.0,5760.0,0.0,0.0,0.01629,11.37153,14.80903,11.37153,14.80903
gr48_25_7,7542.0,7817.0,0.12141,7542.0,7817.0,5955.0,0.0,0.0,0.01873,26.64987,31.26784,26.64987,31.26784
gr48_25_8,6946.0,7124.0,0.12656,6946.0,7124.0,5562.0,0.0,0.0,0.0169,24.88314,28.08342,24.88314,28.08342
gr48_25_9,7159.0,7277.0,0.1175,7159.0,7277.0,5792.0,0.0,0.0,0.02182,23.60152,25.63881,23.60152,25.63881
gr48_50_1,7040.0,7372.0,0.10859,7040.0,7372.0,6096.0,0.0,0.0,0.02484,15.48556,20.93176,15.48556,20.93176
gr48_50_10,7139.0,7467.0,0.11469,7139.0,7467.0,6331.0,0.0,0.0,0.01878,12.7626,17.94345,12.7626,17.94345
gr48_50_2,7795.0,8187.0,0.10953,7795.0,8187.0,6629.0,0.0,0.0,0.02079,17.58938,23.50279,17.58938,23.50279
gr48_50_3,7448.0,7621.0,0.11188,7448.0,7621.0,5896.0,0.0,0.0,0.01818,26.32293,29.25712,26.32293,29.25712
gr48_50_4,7809.0,8516.0,0.11141,7809.0,8516.0,6404.0,0.0,0.0,0.01634,21.93941,32.97939,21.93941,32.97939
gr48_50_5,8211.0,8351.0,0.10609,8211.0,8351.0,6617.0,0.0,0.0,0.0198,24.08947,26.20523,24.08947,26.20523
gr48_50_6,9393.0,10541.0,0.11625,9393.0,10541.0,8533.0,0.0,0.0,0.02363,10.07852,23.53217,10.07852,23.53217
gr48_50_7,7700.0,7914.0,0.11562,7700.0,7914.0,6166.0,0.0,0.0,0.02605,24.87837,28.34901,24.87837,28.34901
gr48_50_8,9158.58,9489.0,0.11438,8400.0,9489.0,6535.0,259.74469,0.0,0.01724,40.1466,45.20275,28.53864,45.20275
